Date,Station_Name,AGO_Sales (L),PMS_Sales (L),Lubricant_Sales (L),Diesel_Sales (L),LPG_Sales (kg),Total_Revenue (₦),Product_Category,Shift,Weekday,Total_Fuel_Sales,Non_Fuel_Sales,Day_Type
2025-02-23,Maryland,14106,20333,622,8341,2184,33735970,Lubricant,Afternoon,Sunday,42780,2806,Weekend
2025-02-24,Idimu,5992,13285,658,17604,2191,30742880,Lubricant,Night,Monday,36881,2849,Weekday
2025-02-25,Iwaya,9026,20398,691,10200,2199,31643350,Lubricant,Afternoon,Tuesday,39624,2890,Weekday
2025-02-26,Maryland,6359,13034,1027,12580,2664,27875350,Cooking Gas,Night,Wednesday,31973,3691,Weekday
2025-02-27,Idimu,8225,18473,689,14494,2743,33770830,Automotive Fuel,Night,Thursday,41192,3432,Weekday
2025-02-28,Iwaya,6639,12544,507,8227,1238,21945290,Lubricant,Afternoon,Friday,27410,1745,Weekday
2025-03-01,Maryland,11079,29586,1052,10981,2531,40799920,Lubricant,Afternoon,Saturday,51646,3583,Weekend
2025-03-02,Idimu,10959,13386,1175,15547,2289,33964340,Automotive Fuel,Morning,Sunday,39892,3464,Weekend
2025-03-03,Iwaya,7242,28384,684,13333,2895,38642910,Cooking Gas,Night,Monday,48959,3579,Weekday
2025-03-04,Maryland,6759,20349,1100,12693,1218,31939660,Lubricant,Afternoon,Tuesday,39801,2318,Weekday
2025-03-05,Idimu,7131,19952,1229,8112,2046,29165990,Lubricant,Night,Wednesday,35195,3275,Weekday
2025-03-06,Iwaya,5793,29619,830,12766,1989,37415870,Lubricant,Afternoon,Thursday,48178,2819,Weekday
2025-03-07,Maryland,7174,10727,1468,9891,1591,24752020,Automotive Fuel,Morning,Friday,27792,3059,Weekday
2025-03-08,Idimu,7488,12402,905,12449,2302,27652180,Cooking Gas,Morning,Saturday,32339,3207,Weekend
2025-03-09,Iwaya,6086,12759,626,14822,1773,27770940,Lubricant,Night,Sunday,33667,2399,Weekend
2025-03-10,Maryland,12009,24594,1209,10605,2983,38642500,Lubricant,Afternoon,Monday,47208,4192,Weekday
2025-03-11,Idimu,9323,22035,1483,12480,1706,35964700,Cooking Gas,Morning,Tuesday,43838,3189,Weekday
2025-03-12,Iwaya,10395,15744,796,12853,1317,31280760,Cooking Gas,Morning,Wednesday,38992,2113,Weekday
2025-03-13,Maryland,7569,20349,557,19758,2975,38747910,Cooking Gas,Night,Thursday,47676,3532,Weekday
2025-03-14,Idimu,10134,18103,519,8182,1074,28027590,Cooking Gas,Night,Friday,36419,1593,Weekday
2025-03-15,Iwaya,11555,22352,1467,17943,1559,42167460,Automotive Fuel,Afternoon,Saturday,51850,3026,Weekend
2025-03-16,Maryland,10029,11572,1037,13646,1280,29395270,Automotive Fuel,Morning,Sunday,35247,2317,Weekend
2025-03-17,Idimu,14012,21807,1247,19161,1664,44303970,Automotive Fuel,Night,Monday,54980,2911,Weekday
2025-03-18,Iwaya,9609,23998,765,10190,1196,33707850,Cooking Gas,Morning,Tuesday,43797,1961,Weekday
2025-03-19,Maryland,14121,26802,1442,18785,1219,47335900,Lubricant,Afternoon,Wednesday,59708,2661,Weekday
2025-03-20,Idimu,6382,10664,809,16028,2402,28520760,Lubricant,Night,Thursday,33074,3211,Weekday
2025-03-21,Iwaya,5975,11860,1096,10146,2122,24505670,Automotive Fuel,Night,Friday,27981,3218,Weekday
2025-03-22,Maryland,9118,19079,1307,10949,2770,33186530,Automotive Fuel,Night,Saturday,39146,4077,Weekend
2025-03-23,Idimu,14818,21407,857,12590,1837,38627300,Lubricant,Morning,Sunday,48815,2694,Weekend
2025-03-24,Iwaya,14859,22096,1166,13650,1323,40156200,Lubricant,Afternoon,Monday,50605,2489,Weekday
2025-03-25,Maryland,7595,18967,714,13185,2878,32710800,Lubricant,Night,Tuesday,39747,3592,Weekday
2025-03-26,Idimu,6410,22394,960,12503,2191,33398410,Automotive Fuel,Afternoon,Wednesday,41307,3151,Weekday
2025-03-27,Iwaya,5347,28564,1313,15007,1529,38808240,Lubricant,Afternoon,Thursday,48918,2842,Weekday
2025-03-28,Maryland,8467,16953,979,18134,2077,35963030,Lubricant,Night,Friday,43554,3056,Weekday
2025-03-29,Idimu,13615,27772,1075,11371,1461,40979120,Lubricant,Afternoon,Saturday,52758,2536,Weekend
2025-03-30,Iwaya,6340,19253,1412,16755,1678,35258850,Automotive Fuel,Night,Sunday,42348,3090,Weekend
2025-03-31,Maryland,7504,23241,1448,18393,1476,39967510,Cooking Gas,Night,Monday,49138,2924,Weekday
2025-01-01,Idimu,11431,16756,1195,17711,1297,37480120,Cooking Gas,Night,Wednesday,45898,2492,Weekday
2025-01-02,Iwaya,9696,13145,640,13138,2913,30345460,Lubricant,Afternoon,Thursday,35979,3553,Weekday
2025-01-03,Maryland,9939,29749,1395,16215,1147,43852350,Automotive Fuel,Afternoon,Friday,55903,2542,Weekday
2025-01-04,Idimu,10313,18747,574,15295,1761,35107050,Cooking Gas,Night,Saturday,44355,2335,Weekend
2025-01-05,Iwaya,10333,21839,1442,16707,1898,40142140,Lubricant,Night,Sunday,48879,3340,Weekend
2025-01-06,Maryland,7358,10887,1382,15473,1198,29065210,Lubricant,Afternoon,Monday,33718,2580,Weekday
2025-01-07,Idimu,6394,15526,1153,19973,1718,35031560,Automotive Fuel,Night,Tuesday,41893,2871,Weekday
2025-01-08,Iwaya,5438,15395,1434,10896,1153,26868020,Cooking Gas,Afternoon,Wednesday,31729,2587,Weekday
2025-01-09,Maryland,10546,10365,574,8917,2522,25250390,Cooking Gas,Morning,Thursday,29828,3096,Weekday
2025-01-10,Idimu,6181,22766,1325,11738,1893,33317860,Automotive Fuel,Night,Friday,40685,3218,Weekday
2025-01-11,Iwaya,13975,14751,1262,18953,2880,40582860,Automotive Fuel,Morning,Saturday,47679,4142,Weekend
2025-01-12,Maryland,9611,28618,1469,12093,2740,40993210,Automotive Fuel,Night,Sunday,50322,4209,Weekend
2025-01-13,Idimu,6428,21662,1045,15957,2225,35967290,Lubricant,Night,Monday,44047,3270,Weekday
2025-01-14,Iwaya,8264,14825,1284,10145,2596,28927750,Automotive Fuel,Afternoon,Tuesday,33234,3880,Weekday
2025-01-15,Maryland,5489,11139,1364,14772,1285,27290390,Automotive Fuel,Night,Wednesday,31400,2649,Weekday
2025-01-16,Idimu,12941,24818,779,9962,1536,36869890,Lubricant,Morning,Thursday,47721,2315,Weekday
2025-01-17,Iwaya,11012,14675,691,15550,2121,33733600,Cooking Gas,Morning,Friday,41237,2812,Weekday
2025-01-18,Maryland,13054,24427,1223,12970,1998,40447750,Cooking Gas,Afternoon,Saturday,50451,3221,Weekend
2025-01-19,Idimu,7944,20412,939,10128,2622,31637460,Lubricant,Morning,Sunday,38484,3561,Weekend
2025-01-20,Iwaya,8143,24868,715,18020,1250,39540350,Cooking Gas,Night,Monday,51031,1965,Weekday
2025-01-21,Maryland,5212,15645,1472,16115,1555,31558300,Lubricant,Night,Tuesday,36972,3027,Weekday
2025-01-22,Idimu,5690,22012,1300,9593,2163,30880110,Cooking Gas,Night,Wednesday,37295,3463,Weekday
2025-01-23,Iwaya,5417,22795,1081,16451,1248,35592120,Cooking Gas,Night,Thursday,44663,2329,Weekday
2025-01-24,Maryland,14231,24875,1322,12019,2294,41291480,Lubricant,Afternoon,Friday,51125,3616,Weekday
2025-01-25,Idimu,8694,10057,912,15171,2444,29399170,Lubricant,Night,Saturday,33922,3356,Weekend
2025-01-26,Iwaya,5475,24673,1364,9191,2442,32484020,Cooking Gas,Night,Sunday,39339,3806,Weekend
2025-01-27,Maryland,5554,23696,951,13480,2173,34370550,Automotive Fuel,Morning,Monday,42730,3124,Weekday
2025-01-28,Idimu,10738,16610,716,13265,2716,33467900,Lubricant,Night,Tuesday,40613,3432,Weekday
2025-01-29,Iwaya,14816,11360,830,11463,2146,31379760,Automotive Fuel,Morning,Wednesday,37639,2976,Weekday
2025-01-30,Maryland,6684,20056,834,19835,2568,38164900,Automotive Fuel,Night,Thursday,46575,3402,Weekday
2025-01-31,Idimu,8862,13341,509,14133,1883,29525760,Automotive Fuel,Morning,Friday,36336,2392,Weekday
2025-02-01,Iwaya,5694,16946,1249,18963,1941,34982910,Lubricant,Night,Saturday,41603,3190,Weekend
2025-02-02,Maryland,10499,14353,547,9864,1239,27439330,Lubricant,Afternoon,Sunday,34716,1786,Weekend
2025-02-03,Idimu,7253,13348,546,19198,1682,32380010,Lubricant,Afternoon,Monday,39799,2228,Weekday
2025-02-04,Iwaya,11645,22834,1407,13376,1655,38764920,Automotive Fuel,Night,Tuesday,47855,3062,Weekday
2025-02-05,Maryland,14112,26821,1118,14753,2826,44753210,Lubricant,Night,Wednesday,55686,3944,Weekday
2025-02-06,Idimu,12729,17751,710,16201,2254,37705620,Automotive Fuel,Night,Thursday,46681,2964,Weekday
2025-02-07,Iwaya,12245,14579,1367,15928,2931,36946410,Cooking Gas,Afternoon,Friday,42752,4298,Weekday
2025-02-08,Maryland,13112,14589,658,19100,2948,38800650,Cooking Gas,Morning,Saturday,46801,3606,Weekend
2025-02-09,Idimu,10888,14363,614,15712,1785,33131040,Cooking Gas,Afternoon,Sunday,40963,2399,Weekend
2025-02-10,Iwaya,6462,28182,1453,9708,1209,35059010,Lubricant,Morning,Monday,44352,2662,Weekday
2025-02-11,Maryland,13939,26150,807,17705,2596,45790450,Cooking Gas,Night,Tuesday,57794,3403,Weekday
2025-02-12,Idimu,7094,18387,1348,16141,1893,34812720,Automotive Fuel,Night,Wednesday,41622,3241,Weekday
2025-02-13,Iwaya,9753,29452,1309,10169,2528,39563930,Lubricant,Morning,Thursday,49374,3837,Weekday
2025-02-14,Maryland,10493,13782,1403,15006,1721,33401820,Cooking Gas,Morning,Friday,39281,3124,Weekday
2025-02-15,Idimu,10908,16037,1418,8724,2908,31066530,Automotive Fuel,Morning,Saturday,35669,4326,Weekend
2025-02-16,Iwaya,8294,20583,1142,16695,2730,37893850,Automotive Fuel,Night,Sunday,45572,3872,Weekend
2025-02-17,Maryland,9014,23184,853,11825,1872,34823800,Lubricant,Afternoon,Monday,44023,2725,Weekday
2025-02-18,Idimu,14913,21637,1451,13989,2399,41660930,Automotive Fuel,Morning,Tuesday,50539,3850,Weekday
2025-02-19,Iwaya,8778,21483,698,15416,1820,36131570,Automotive Fuel,Afternoon,Wednesday,45677,2518,Weekday
2025-02-20,Maryland,11407,17699,1319,12984,2977,35874930,Automotive Fuel,Afternoon,Thursday,42090,4296,Weekday
2025-02-21,Idimu,10504,13967,1112,16767,1920,34561490,Automotive Fuel,Morning,Friday,41238,3032,Weekday
2025-02-22,Iwaya,5061,22310,1426,12575,1444,32688150,Cooking Gas,Night,Saturday,39946,2870,Weekend
2025-02-23,Maryland,9878,26072,1467,15794,1493,41509430,Cooking Gas,Morning,Sunday,51744,2960,Weekend
2025-02-24,Idimu,10538,22233,542,10584,1327,33245780,Automotive Fuel,Afternoon,Monday,43355,1869,Weekday
2025-02-25,Iwaya,7331,25858,1480,15965,1803,39889800,Lubricant,Morning,Tuesday,49154,3283,Weekday
2025-02-26,Maryland,9481,26462,1323,8096,1503,34873320,Cooking Gas,Afternoon,Wednesday,44039,2826,Weekday
2025-02-27,Idimu,12863,14760,1492,13585,1611,34734300,Cooking Gas,Night,Thursday,41208,3103,Weekday
2025-02-28,Iwaya,5691,20576,899,17555,2876,36280350,Automotive Fuel,Night,Friday,43822,3775,Weekday
2025-03-01,Maryland,7248,27625,1312,16184,1232,40334330,Cooking Gas,Afternoon,Saturday,51057,2544,Weekend
2025-03-02,Idimu,11828,28226,965,8744,2117,38117430,Cooking Gas,Morning,Sunday,48798,3082,Weekend
2025-03-03,Iwaya,6599,19820,1464,18601,1784,37529470,Automotive Fuel,Morning,Monday,45020,3248,Weekday
2025-03-04,Maryland,6186,14092,1329,17664,2125,32748030,Automotive Fuel,Afternoon,Tuesday,37942,3454,Weekday
2025-03-05,Idimu,11388,24583,641,15879,1563,40151280,Automotive Fuel,Afternoon,Wednesday,51850,2204,Weekday
2025-03-06,Iwaya,7548,28258,795,9035,2420,35084400,Automotive Fuel,Afternoon,Thursday,44841,3215,Weekday
2025-03-07,Maryland,13191,20082,1133,15259,2114,39521830,Lubricant,Afternoon,Friday,48532,3247,Weekday
2025-03-08,Idimu,8105,11296,921,16456,2567,30939020,Cooking Gas,Afternoon,Saturday,35857,3488,Weekend
2025-03-09,Iwaya,13261,26706,1071,15230,2596,44141850,Cooking Gas,Afternoon,Sunday,55197,3667,Weekend
2025-03-10,Maryland,13476,11371,1361,9618,1754,29597810,Lubricant,Morning,Monday,34465,3115,Weekday
2025-03-11,Idimu,14599,28851,521,17211,1457,46095870,Cooking Gas,Afternoon,Tuesday,60661,1978,Weekday
2025-03-12,Iwaya,14955,20997,1349,18485,1666,44136100,Cooking Gas,Afternoon,Wednesday,54437,3015,Weekday
2025-03-13,Maryland,11394,10648,1462,15082,2062,32510640,Cooking Gas,Afternoon,Thursday,37124,3524,Weekday
2025-03-14,Idimu,6034,29585,887,15313,1096,39018010,Lubricant,Morning,Friday,50932,1983,Weekday
2025-03-15,Iwaya,13175,27042,1032,12985,1733,41643300,Lubricant,Night,Saturday,53202,2765,Weekend
2025-03-16,Maryland,14838,26395,1483,18433,1780,47879310,Automotive Fuel,Night,Sunday,59666,3263,Weekend
2025-03-17,Idimu,5519,15021,1192,16652,1978,31622840,Lubricant,Afternoon,Monday,37192,3170,Weekday
2025-03-18,Iwaya,7441,21890,1057,13379,1280,33982030,Lubricant,Afternoon,Tuesday,42710,2337,Weekday
2025-03-19,Maryland,9850,12229,522,13892,1917,29401240,Lubricant,Night,Wednesday,35971,2439,Weekday
2025-03-20,Idimu,14209,23275,1452,16256,1914,43646320,Cooking Gas,Afternoon,Thursday,53740,3366,Weekday
2025-03-21,Iwaya,10492,25521,915,18424,1653,42800380,Lubricant,Morning,Friday,54437,2568,Weekday
2025-03-22,Maryland,12251,29703,743,14579,2337,43922430,Automotive Fuel,Morning,Saturday,56533,3080,Weekend
2025-03-23,Idimu,5129,16372,569,14647,1750,29124590,Automotive Fuel,Morning,Sunday,36148,2319,Weekend
2025-03-24,Iwaya,7690,23388,730,15605,1497,36498250,Lubricant,Night,Monday,46683,2227,Weekday
2025-03-25,Maryland,5559,25767,986,15404,1485,36783330,Cooking Gas,Night,Tuesday,46730,2471,Weekday
2025-03-26,Idimu,9606,22159,929,11147,1337,33742840,Lubricant,Night,Wednesday,42912,2266,Weekday
2025-03-27,Iwaya,7365,28299,1234,10710,2905,37637550,Cooking Gas,Afternoon,Thursday,46374,4139,Weekday
2025-03-28,Maryland,5985,18402,878,12053,2651,30342860,Automotive Fuel,Afternoon,Friday,36440,3529,Weekday
2025-03-29,Idimu,13996,11146,913,12204,2861,32007030,Cooking Gas,Afternoon,Saturday,37346,3774,Weekend
2025-03-30,Iwaya,11805,14927,804,14106,2646,33980320,Cooking Gas,Night,Sunday,40838,3450,Weekend
2025-03-31,Maryland,5448,20205,1496,16615,1008,34692350,Automotive Fuel,Afternoon,Monday,42268,2504,Weekday
2025-01-01,Idimu,10172,21054,843,12842,2389,35561190,Cooking Gas,Night,Wednesday,44068,3232,Weekday
2025-01-02,Iwaya,9026,28270,533,12426,2623,38629870,Lubricant,Morning,Thursday,49722,3156,Weekday
2025-01-03,Maryland,14003,20788,536,16936,2358,40978270,Automotive Fuel,Morning,Friday,51727,2894,Weekday
2025-01-04,Idimu,5549,19793,795,15689,2870,33921680,Automotive Fuel,Night,Saturday,41031,3665,Weekend
2025-01-05,Iwaya,14408,29390,1365,10375,1563,42475550,Lubricant,Night,Sunday,54173,2928,Weekend
2025-01-06,Maryland,7003,17406,616,10347,2854,28708590,Automotive Fuel,Night,Monday,34756,3470,Weekday
2025-01-07,Idimu,11498,28619,1369,10592,2816,41042890,Automotive Fuel,Afternoon,Tuesday,50709,4185,Weekday
2025-01-08,Iwaya,10881,26986,862,9765,2590,37634450,Automotive Fuel,Morning,Wednesday,47632,3452,Weekday
2025-01-09,Maryland,7586,16791,1039,14137,2468,32371790,Lubricant,Afternoon,Thursday,38514,3507,Weekday
2025-01-10,Idimu,11413,19100,551,15769,1092,35935530,Lubricant,Afternoon,Friday,46282,1643,Weekday
2025-01-11,Iwaya,7713,16586,1004,16947,2349,34466840,Lubricant,Night,Saturday,41246,3353,Weekend
2025-01-12,Maryland,14925,29690,505,13258,1313,43489860,Cooking Gas,Night,Sunday,57873,1818,Weekend
2025-01-13,Idimu,5028,25601,611,16816,2699,37716920,Cooking Gas,Afternoon,Monday,47445,3310,Weekday
2025-01-14,Iwaya,14306,23805,1028,9587,1312,37235290,Cooking Gas,Morning,Tuesday,47698,2340,Weekday
2025-01-15,Maryland,12511,13216,753,11968,1882,30893110,Lubricant,Morning,Wednesday,37695,2635,Weekday
2025-01-16,Idimu,5591,19642,697,14243,1044,30921210,Cooking Gas,Morning,Thursday,39476,1741,Weekday
2025-01-17,Iwaya,14527,25596,861,12375,2109,41194800,Cooking Gas,Afternoon,Friday,52498,2970,Weekday
2025-01-18,Maryland,9137,14809,1120,8441,2006,27345320,Lubricant,Afternoon,Saturday,32387,3126,Weekend
2025-01-19,Idimu,12452,13762,598,19069,1324,36242280,Automotive Fuel,Night,Sunday,45283,1922,Weekend
2025-01-20,Iwaya,14267,21984,779,16901,2485,42518920,Cooking Gas,Morning,Monday,53152,3264,Weekday
2025-01-21,Maryland,14323,15775,1407,19043,1902,41041960,Automotive Fuel,Afternoon,Tuesday,49141,3309,Weekday
2025-01-22,Idimu,6816,21520,905,18535,1388,37288500,Lubricant,Morning,Wednesday,46871,2293,Weekday
2025-01-23,Iwaya,11757,21438,547,19586,1893,41516020,Lubricant,Morning,Thursday,52781,2440,Weekday
2025-01-24,Maryland,12707,28911,539,12921,2597,42203070,Lubricant,Afternoon,Friday,54539,3136,Weekday
2025-01-25,Idimu,12610,22820,578,11232,1484,35918140,Cooking Gas,Night,Saturday,46662,2062,Weekend
2025-01-26,Iwaya,6909,18913,1486,17606,1883,36484670,Automotive Fuel,Afternoon,Sunday,43428,3369,Weekend
2025-01-27,Maryland,14547,10984,1097,14241,2320,33893470,Automotive Fuel,Afternoon,Monday,39772,3417,Weekday
2025-01-28,Idimu,14294,12511,911,8539,2608,29893430,Cooking Gas,Afternoon,Tuesday,35344,3519,Weekday
2025-01-29,Iwaya,10286,11780,914,19617,1892,34893640,Cooking Gas,Afternoon,Wednesday,41683,2806,Weekday
2025-01-30,Maryland,12369,29556,985,11780,2881,42566600,Lubricant,Night,Thursday,53705,3866,Weekday
2025-01-31,Idimu,9430,18896,1273,14611,1608,35248720,Lubricant,Morning,Friday,42937,2881,Weekday
2025-02-01,Iwaya,9357,20194,800,13422,2444,34827290,Automotive Fuel,Afternoon,Saturday,42973,3244,Weekend
2025-02-02,Maryland,7514,14952,1231,19725,1633,35378850,Automotive Fuel,Morning,Sunday,42191,2864,Weekend
2025-02-03,Idimu,9357,17689,677,12653,2801,32625910,Lubricant,Night,Monday,39699,3478,Weekday
2025-02-04,Iwaya,5292,24727,1241,15277,1133,36013740,Cooking Gas,Afternoon,Tuesday,45296,2374,Weekday
2025-02-05,Maryland,6920,15874,876,9588,1186,26130360,Cooking Gas,Afternoon,Wednesday,32382,2062,Weekday
2025-02-06,Idimu,13394,13697,1380,11862,1908,33057190,Automotive Fuel,Morning,Thursday,38953,3288,Weekday
2025-02-07,Iwaya,6140,19928,1093,15920,2667,35065550,Automotive Fuel,Morning,Friday,41988,3760,Weekday
2025-02-08,Maryland,12803,14191,1425,10418,1898,31832460,Lubricant,Morning,Saturday,37412,3323,Weekend
2025-02-09,Idimu,13583,19872,1032,8444,1945,33745380,Automotive Fuel,Night,Sunday,41899,2977,Weekend
2025-02-10,Iwaya,9079,18309,1416,8843,2579,30985510,Lubricant,Morning,Monday,36231,3995,Weekday
2025-02-11,Maryland,13563,26518,613,10024,1444,38082030,Lubricant,Morning,Tuesday,50105,2057,Weekday
2025-02-12,Idimu,10652,24010,1395,13964,1133,38799030,Automotive Fuel,Morning,Wednesday,48626,2528,Weekday
2025-02-13,Iwaya,12488,24498,1404,10944,1714,38528680,Lubricant,Morning,Thursday,47930,3118,Weekday
2025-02-14,Maryland,12890,15815,814,17969,1011,37169180,Cooking Gas,Morning,Friday,46674,1825,Weekday
2025-02-15,Idimu,13686,20781,565,16105,1767,39610200,Cooking Gas,Afternoon,Saturday,50572,2332,Weekend
2025-02-16,Iwaya,6115,23144,861,10360,1224,30887450,Lubricant,Night,Sunday,39619,2085,Weekend
2025-02-17,Maryland,6066,26803,1368,10542,1017,34216340,Automotive Fuel,Night,Monday,43411,2385,Weekday
2025-02-18,Idimu,14176,22771,1182,16071,1199,41994520,Lubricant,Morning,Tuesday,53018,2381,Weekday
2025-02-19,Iwaya,8805,21015,1397,14316,2175,36645370,Automotive Fuel,Night,Wednesday,44136,3572,Weekday
2025-02-20,Maryland,12795,27770,1173,14362,1061,42671440,Automotive Fuel,Night,Thursday,54927,2234,Weekday
2025-02-21,Idimu,7473,15894,1099,15025,2096,32235950,Cooking Gas,Night,Friday,38392,3195,Weekday
2025-02-22,Iwaya,8273,13766,603,11269,2181,27453080,Cooking Gas,Night,Saturday,33308,2784,Weekend
2025-02-23,Maryland,7383,12798,1218,16956,1221,31233720,Automotive Fuel,Afternoon,Sunday,37137,2439,Weekend
2025-02-24,Idimu,10993,21594,1345,15383,1662,38997610,Lubricant,Night,Monday,47970,3007,Weekday
2025-02-25,Iwaya,10645,26584,616,17210,2437,42679000,Cooking Gas,Morning,Tuesday,54439,3053,Weekday
2025-02-26,Maryland,12257,20062,1163,9005,2580,34136150,Cooking Gas,Night,Wednesday,41324,3743,Weekday
2025-02-27,Idimu,7209,23192,1149,14536,2852,37123270,Cooking Gas,Night,Thursday,44937,4001,Weekday
2025-02-28,Iwaya,9753,16085,1036,9715,2350,29805800,Automotive Fuel,Morning,Friday,35553,3386,Weekday
2025-03-01,Maryland,12897,14995,1017,15284,2819,36382530,Lubricant,Morning,Saturday,43176,3836,Weekend
2025-03-02,Idimu,8990,15636,1206,9707,2018,28992940,Cooking Gas,Afternoon,Sunday,34333,3224,Weekend
2025-03-03,Iwaya,5059,23663,1023,10508,1508,31119560,Lubricant,Afternoon,Monday,39230,2531,Weekday
2025-03-04,Maryland,6906,23182,656,19332,2466,39508140,Automotive Fuel,Morning,Tuesday,49420,3122,Weekday
2025-03-05,Idimu,11005,11431,1222,17246,2838,34681920,Automotive Fuel,Afternoon,Wednesday,39682,4060,Weekday
2025-03-06,Iwaya,12341,18991,1045,9088,2270,33071560,Cooking Gas,Afternoon,Thursday,40420,3315,Weekday
2025-03-07,Maryland,8102,22263,860,16668,2904,38403610,Cooking Gas,Morning,Friday,47033,3764,Weekday
2025-03-08,Idimu,11846,26040,1393,10934,1488,38827180,Lubricant,Afternoon,Saturday,48820,2881,Weekend
2025-03-09,Iwaya,8750,17202,1352,11405,2236,31700500,Cooking Gas,Night,Sunday,37357,3588,Weekend
2025-03-10,Maryland,14977,18687,1465,12624,1288,37755780,Cooking Gas,Morning,Monday,46288,2753,Weekday
2025-03-11,Idimu,8388,16795,846,8180,2776,27966950,Lubricant,Night,Tuesday,33363,3622,Weekday
2025-03-12,Iwaya,6568,29765,1015,15420,1705,40396900,Lubricant,Night,Wednesday,51753,2720,Weekday
2025-03-13,Maryland,12055,15492,1009,18348,2663,38437960,Automotive Fuel,Morning,Thursday,45895,3672,Weekday
2025-03-14,Idimu,12596,29145,1273,10561,2749,41933920,Cooking Gas,Afternoon,Friday,52302,4022,Weekday
2025-03-15,Iwaya,12206,26804,1056,11478,1914,39727960,Lubricant,Afternoon,Saturday,50488,2970,Weekend
2025-03-16,Maryland,13147,16915,1382,8526,1727,32078270,Automotive Fuel,Morning,Sunday,38588,3109,Weekend
2025-03-17,Idimu,13476,17709,961,15776,1946,38130270,Automotive Fuel,Night,Monday,46961,2907,Weekday
2025-03-18,Iwaya,12606,16522,565,13500,2653,34648850,Lubricant,Morning,Tuesday,42628,3218,Weekday
2025-03-19,Maryland,9021,11595,1143,8540,1505,24870550,Lubricant,Night,Wednesday,29156,2648,Weekday
2025-03-20,Idimu,11133,29949,1483,13454,1414,43016780,Cooking Gas,Afternoon,Thursday,54536,2897,Weekday
2025-03-21,Iwaya,7758,28148,1498,9233,1399,35870910,Cooking Gas,Night,Friday,45139,2897,Weekday
2025-03-22,Maryland,12817,28243,683,10603,2316,39999760,Automotive Fuel,Morning,Saturday,51663,2999,Weekend
2025-03-23,Idimu,9131,20808,960,15042,2905,37097140,Automotive Fuel,Night,Sunday,44981,3865,Weekend
2025-03-24,Iwaya,9095,14240,723,14319,2413,31315880,Cooking Gas,Night,Monday,37654,3136,Weekday
2025-03-25,Maryland,8003,13237,574,11598,1016,26128260,Lubricant,Morning,Tuesday,32838,1590,Weekday
2025-03-26,Idimu,8732,10048,785,10911,2249,25508870,Lubricant,Afternoon,Wednesday,29691,3034,Weekday
2025-03-27,Iwaya,12689,15456,1159,18004,2449,38726080,Lubricant,Night,Thursday,46149,3608,Weekday
2025-03-28,Maryland,13767,28986,568,15394,2657,45183680,Automotive Fuel,Afternoon,Friday,58147,3225,Weekday
2025-03-29,Idimu,6388,16640,572,11701,2444,28423220,Automotive Fuel,Afternoon,Saturday,34729,3016,Weekend
2025-03-30,Iwaya,14426,25636,663,14756,1577,42249270,Cooking Gas,Morning,Sunday,54818,2240,Weekend
2025-03-31,Maryland,14647,11983,746,13415,1104,32204900,Cooking Gas,Night,Monday,40045,1850,Weekday
2025-01-01,Idimu,7331,12945,1348,18400,1928,33335300,Automotive Fuel,Afternoon,Wednesday,38676,3276,Weekday
2025-01-02,Iwaya,12924,11273,753,16233,1595,33193260,Lubricant,Morning,Thursday,40430,2348,Weekday
2025-01-03,Maryland,9498,10193,1088,12913,2579,28705760,Automotive Fuel,Afternoon,Friday,32604,3667,Weekday
2025-01-04,Idimu,14276,24858,710,14940,1037,41416950,Automotive Fuel,Morning,Saturday,54074,1747,Weekend
2025-01-05,Iwaya,6965,28880,904,11850,2301,37476600,Cooking Gas,Morning,Sunday,47695,3205,Weekend
2025-01-06,Maryland,13990,10899,1374,8075,1616,28319950,Automotive Fuel,Night,Monday,32964,2990,Weekday
2025-01-07,Idimu,12823,16987,761,18269,1620,38538380,Automotive Fuel,Night,Tuesday,48079,2381,Weekday
2025-01-08,Iwaya,14832,13626,1292,18103,1537,38715810,Automotive Fuel,Morning,Wednesday,46561,2829,Weekday
2025-01-09,Maryland,12139,17445,1116,8042,1343,30411490,Automotive Fuel,Morning,Thursday,37626,2459,Weekday
2025-01-10,Idimu,9186,21061,694,18008,2089,38509360,Automotive Fuel,Afternoon,Friday,48255,2783,Weekday
2025-01-11,Iwaya,10195,16404,1408,10962,2239,32016840,Automotive Fuel,Afternoon,Saturday,37561,3647,Weekend
2025-01-12,Maryland,5624,13663,993,10418,2723,25942260,Lubricant,Afternoon,Sunday,29705,3716,Weekend
2025-01-13,Idimu,7023,25693,1464,15063,1249,38309010,Lubricant,Morning,Monday,47779,2713,Weekday
2025-01-14,Iwaya,12520,29676,1026,18591,2209,47853670,Lubricant,Night,Tuesday,60787,3235,Weekday
2025-01-15,Maryland,14484,13325,1177,8181,2215,30469420,Lubricant,Night,Wednesday,35990,3392,Weekday
2025-01-16,Idimu,7031,13066,1191,14085,2474,29800750,Cooking Gas,Morning,Thursday,34182,3665,Weekday
2025-01-17,Iwaya,10547,13451,1221,13160,2182,31741300,Automotive Fuel,Morning,Friday,37158,3403,Weekday
2025-01-18,Maryland,5287,17914,924,10191,2396,27850570,Lubricant,Morning,Saturday,33392,3320,Weekend
